frame, timestamp, confidence, success, x_0, y_0, z_0, x_1, y_1, z_1, x_h0, y_h0, z_h0, x_h1, y_h1, z_h1
11, 0.333333, 0.983906, 1, -0.0155199, 0.22448, -0.974355, -0.22391, 0.206527, -0.952476, -0.0477792, 0.474422, -0.879, -0.255102, 0.44623, -0.857789
12, 0.366667, 0.983969, 1, -0.0215777, 0.24313, -0.969754, -0.241198, 0.211539, -0.94714, -0.0528745, 0.492353, -0.868788, -0.271211, 0.450677, -0.850491
13, 0.4, 0.984796, 1, -0.0153487, 0.237982, -0.971148, -0.233837, 0.204356, -0.950557, -0.0439366, 0.489322, -0.870996, -0.261195, 0.446125, -0.856008
14, 0.433333, 0.983863, 1, -0.0203501, 0.218358, -0.975656, -0.236502, 0.215121, -0.947518, -0.0491199, 0.472105, -0.880173, -0.264392, 0.456095, -0.849749
15, 0.466667, 0.983548, 1, -0.0181249, 0.242636, -0.969948, -0.242773, 0.220448, -0.944703, -0.0462718, 0.49476, -0.867797, -0.269766, 0.460874, -0.845471
16, 0.5, 0.98382, 1, -4.355e-005, 0.267354, -0.963598, -0.250324, 0.24863, -0.935693, -0.027569, 0.518508, -0.854628, -0.276718, 0.486559, -0.828666
17, 0.533333, 0.983524, 1, -0.00409293, 0.253721, -0.967269, -0.263089, 0.241509, -0.934054, -0.0329722, 0.503233, -0.863522, -0.290782, 0.476084, -0.829934
18, 0.566667, 0.983532, 1, -0.0126121, 0.248742, -0.968488, -0.263661, 0.252804, -0.930899, -0.0401897, 0.49714, -0.866739, -0.290313, 0.484881, -0.82499
19, 0.6, 0.982809, 1, 0.00243502, 0.257694, -0.966224, -0.255311, 0.257412, -0.931963, -0.0263803, 0.506601, -0.861777, -0.28315, 0.490625, -0.824083
20, 0.633333, 0.982875, 1, -0.0106035, 0.254518, -0.96701, -0.249022, 0.253995, -0.934599, -0.0371016, 0.502998, -0.863491, -0.27469, 0.487653, -0.828698
21, 0.666667, 0.982934, 1, 0.0104725, 0.242269, -0.970153, -0.256914, 0.239941, -0.936175, -0.0144744, 0.497609, -0.867281, -0.281002, 0.479082, -0.831575
22, 0.7, 0.984533, 1, 0.0220382, 0.245013, -0.969269, -0.277296, 0.246819, -0.928541, -0.00188018, 0.500331, -0.865832, -0.300354, 0.482866, -0.822574
23, 0.733333, 0.98436, 1, -0.00547477, 0.209905, -0.977706, -0.273564, 0.233314, -0.933128, -0.0283869, 0.471106, -0.88162, -0.296148, 0.47335, -0.8296
24, 0.766667, 0.984738, 1, -0.0117363, 0.224823, -0.974329, -0.266789, 0.233007, -0.935164, -0.031611, 0.487538, -0.872529, -0.286219, 0.476679, -0.831178
25, 0.8, 0.9839, 1, -0.00864196, 0.234195, -0.972151, -0.243814, 0.201587, -0.94864, -0.0312336, 0.498392, -0.866389, -0.264959, 0.45295, -0.851254
26, 0.833333, 0.98391, 1, -0.00451872, 0.233398, -0.972371, -0.272194, 0.213333, -0.938296, -0.0263248, 0.499372, -0.865988, -0.292741, 0.461787, -0.837291
27, 0.866667, 0.984448, 1, -0.0132623, 0.242561, -0.970045, -0.265872, 0.213515, -0.940066, -0.0310569, 0.506851, -0.861474, -0.282319, 0.462301, -0.84058
28, 0.9, 0.983591, 1, -0.0152894, 0.233844, -0.972154, -0.262224, 0.21088, -0.941684, -0.0333454, 0.502829, -0.863742, -0.279099, 0.464007, -0.840715
29, 0.933333, 0.983679, 1, -0.0145462, 0.226623, -0.973874, -0.271565, 0.220681, -0.936777, -0.0313824, 0.497603, -0.866837, -0.287707, 0.472814, -0.83287
30, 0.966667, 0.983554, 1, -0.0252714, 0.23299, -0.972151, -0.276701, 0.206787, -0.938443, -0.0434843, 0.502758, -0.863333, -0.293586, 0.459699, -0.838143
31, 1, 0.983209, 1, -0.0136481, 0.234634, -0.971988, -0.261014, 0.222689, -0.939298, -0.0305015, 0.503886, -0.863231, -0.277046, 0.475048, -0.83521
32, 1.03333, 0.982309, 1, -0.00978731, 0.231298, -0.972834, -0.280118, 0.218512, -0.934765, -0.0274296, 0.502216, -0.864307, -0.296807, 0.470088, -0.831218
33, 1.06667, 0.982309, 1, -0.0197942, 0.241837, -0.970115, -0.2715, 0.239177, -0.932246, -0.0355146, 0.507616, -0.860851, -0.286687, 0.486318, -0.825412
34, 1.1, 0.980859, 1, 0.00137742, 0.254077, -0.967183, -0.284603, 0.238859, -0.928411, -0.0133473, 0.520058, -0.854027, -0.298462, 0.485797, -0.821536
35, 1.13333, 0.982434, 1, -0.0141903, 0.26343, -0.964574, -0.293148, 0.239371, -0.925617, -0.0319551, 0.527164, -0.849163, -0.309644, 0.484074, -0.818409
36, 1.16667, 0.981564, 1, 0.0102621, 0.258572, -0.965937, -0.286056, 0.250516, -0.924886, -0.00418052, 0.521174, -0.85344, -0.299831, 0.492678, -0.816927
37, 1.2, 0.98341, 1, 0.0177772, 0.260829, -0.965221, -0.281673, 0.248214, -0.92685, 0.00379486, 0.522165, -0.852836, -0.294889, 0.490048, -0.820301
38, 1.23333, 0.983239, 1, -0.00769852, 0.256488, -0.966517, -0.290231, 0.243807, -0.925378, -0.0217753, 0.519102, -0.854435, -0.303518, 0.486541, -0.81924
39, 1.26667, 0.981711, 1, -0.0397017, 0.262689, -0.964063, -0.358117, 0.215645, -0.908432, -0.0580369, 0.525978, -0.848516, -0.374386, 0.455653, -0.807599
40, 1.3, 0.983547, 1, -0.0012372, 0.246768, -0.969074, -0.318918, 0.180527, -0.930431, -0.0246569, 0.521286, -0.853026, -0.340078, 0.438416, -0.831949
41, 1.33333, 0.983515, 1, -0.0864841, 0.208129, -0.97427, -0.38621, 0.217122, -0.896493, -0.112452, 0.49229, -0.863137, -0.410267, 0.472019, -0.780307
42, 1.36667, 0.982774, 1, -0.0827279, 0.193678, -0.977571, -0.391034, 0.220408, -0.893595, -0.104182, 0.474157, -0.874255, -0.410971, 0.470144, -0.781068
43, 1.4, 0.982708, 1, -0.0818657, 0.194929, -0.977395, -0.389926, 0.222089, -0.893663, -0.103442, 0.478194, -0.872141, -0.409929, 0.474713, -0.778849
44, 1.43333, 0.982303, 1, -0.0881713, 0.196901, -0.976451, -0.391602, 0.20947, -0.895974, -0.111059, 0.482516, -0.868818, -0.412711, 0.46614, -0.782549
45, 1.46667, 0.98276, 1, -0.0754662, 0.178808, -0.980985, -0.378321, 0.2129, -0.900859, -0.0976542, 0.463274, -0.880818, -0.398925, 0.468053, -0.788534
46, 1.5, 0.981664, 1, -0.0685515, 0.194182, -0.978567, -0.375512, 0.202322, -0.904465, -0.0913827, 0.477573, -0.873827, -0.396672, 0.459307, -0.794788
47, 1.53333, 0.947234, 1, -0.035362, 0.257203, -0.96571, -0.375866, 0.198848, -0.905088, -0.0718727, 0.544927, -0.835398, -0.409227, 0.462186, -0.786713
48, 1.56667, 0.634975, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
49, 1.6, 0.835883, 1, 0.0458014, 0.236537, -0.970542, -0.344499, -0.0657403, -0.936482, 0.0565652, 0.564317, -0.823618, -0.321715, 0.257542, -0.911138
50, 1.63333, 0.833767, 1, 0.042063, 0.213715, -0.97599, -0.340484, -0.0346087, -0.939613, 0.0253525, 0.485734, -0.873739, -0.348664, 0.224711, -0.909911
51, 1.66667, 0.756299, 1, 0.021759, 0.23031, -0.972874, -0.293546, 0.223434, -0.929466, -0.000709644, 0.482003, -0.876169, -0.314953, 0.454752, -0.83307
52, 1.7, 0.752576, 1, 0.0334791, 0.136589, -0.990062, -0.256497, 0.229785, -0.938833, -0.0198524, 0.39191, -0.919789, -0.310329, 0.454051, -0.835185
53, 1.73333, 0.821245, 1, -0.0628648, 0.0781506, -0.994958, -0.306475, 0.224949, -0.924917, -0.168199, 0.309498, -0.935906, -0.410741, 0.416322, -0.811152
54, 1.76667, 0.744573, 1, -0.0175599, 0.0656806, -0.997686, -0.411106, 0.0583523, -0.909718, -0.148051, 0.277128, -0.949358, -0.525674, 0.210852, -0.824141
55, 1.8, 0.741542, 1, -0.0216713, 0.0897064, -0.995732, -0.410963, 0.0559465, -0.909934, -0.154395, 0.306414, -0.939294, -0.525694, 0.212459, -0.823715
56, 1.83333, 0.648399, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
57, 1.86667, 0.332121, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
58, 1.9, 0.214683, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
59, 1.93333, 0.166172, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
60, 1.96667, 0.219171, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
61, 2, 0.213065, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
62, 2.03333, 0.346709, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
63, 2.06667, 0.427906, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
64, 2.1, 0.23779, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
65, 2.13333, 0.330005, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
66, 2.16667, 0.50616, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
67, 2.2, 0.474655, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
68, 2.23333, 0.525088, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
69, 2.26667, 0.647458, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
70, 2.3, 0.724351, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
71, 2.33333, 0.587154, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
72, 2.36667, 0.566928, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
73, 2.4, 0.573572, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
74, 2.43333, 0.57134, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
75, 2.46667, 0.564944, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
76, 2.5, 0.592358, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
77, 2.53333, 0.614649, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
78, 2.56667, 0.582114, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
79, 2.6, 0.569295, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
80, 2.63333, 0.502202, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
81, 2.66667, 0.500368, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
82, 2.7, 0.508502, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
83, 2.73333, 0.502979, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
84, 2.76667, 0.523689, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
85, 2.8, 0.480896, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
86, 2.83333, 0.520282, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
87, 2.86667, 0.5246, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
88, 2.9, 0.538181, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
89, 2.93333, 0.494635, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
90, 2.96667, 0.488054, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
91, 3, 0.528618, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
92, 3.03333, 0.569558, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
93, 3.06667, 0.50284, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
94, 3.1, 0.457506, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
95, 3.13333, 0.287748, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
96, 3.16667, 0.683856, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
97, 3.2, 0.227289, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
98, 3.23333, 0.565885, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
99, 3.26667, 0.256192, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
100, 3.3, 0.982375, 1, -0.00308484, 0.259676, -0.965691, -0.295896, 0.232252, -0.926555, -0.0207251, 0.446445, -0.894571, -0.312649, 0.408708, -0.857443
101, 3.33333, 0.982873, 1, -0.00210437, 0.254996, -0.96694, -0.29092, 0.221054, -0.93086, -0.0228641, 0.469517, -0.882627, -0.310561, 0.423822, -0.850839
102, 3.36667, 0.980261, 1, -0.0172437, 0.255926, -0.966543, -0.302476, 0.227321, -0.925653, -0.0379964, 0.488878, -0.871524, -0.322065, 0.446309, -0.834915
103, 3.4, 0.982355, 1, 0.000920087, 0.259296, -0.965797, -0.300244, 0.232312, -0.92514, -0.0171155, 0.503158, -0.864025, -0.317225, 0.46113, -0.82869
104, 3.43333, 0.98159, 1, -0.00636469, 0.264393, -0.964394, -0.30167, 0.225993, -0.926241, -0.0251015, 0.515112, -0.856755, -0.319157, 0.462169, -0.827368
105, 3.46667, 0.980492, 1, -0.0155633, 0.254697, -0.966896, -0.299371, 0.22304, -0.927702, -0.0316384, 0.515796, -0.856127, -0.314389, 0.469, -0.825347
106, 3.5, 0.980311, 1, -0.000421518, 0.265743, -0.964044, -0.313483, 0.223508, -0.922915, -0.014597, 0.532432, -0.846347, -0.32632, 0.473015, -0.818396
107, 3.53333, 0.980997, 1, -0.000208838, 0.249564, -0.968358, -0.307186, 0.217065, -0.926563, -0.0110289, 0.524082, -0.851596, -0.316957, 0.473517, -0.821779
108, 3.56667, 0.980327, 1, 0.00216069, 0.25057, -0.968096, -0.323423, 0.221044, -0.920075, -0.00965554, 0.525099, -0.850986, -0.334197, 0.475321, -0.813869
109, 3.6, 0.980071, 1, 0.0165726, 0.241991, -0.970137, -0.297971, 0.230209, -0.9264, 0.00435064, 0.517735, -0.85553, -0.309539, 0.486298, -0.817129
110, 3.63333, 0.980235, 1, 0.038936, 0.230174, -0.97237, -0.326059, 0.225106, -0.918157, 0.0271729, 0.506632, -0.861734, -0.337237, 0.478634, -0.810667
111, 3.66667, 0.980944, 1, 0.049293, 0.272323, -0.960943, -0.338723, 0.241448, -0.909379, 0.0344714, 0.548709, -0.835302, -0.352459, 0.497285, -0.792768
112, 3.7, 0.979079, 1, 0.00449204, 0.274496, -0.961578, -0.318199, 0.246627, -0.915382, -0.0121578, 0.551893, -0.833826, -0.333854, 0.506935, -0.794707
113, 3.73333, 0.979474, 1, -0.00859722, 0.290384, -0.956872, -0.341356, 0.251233, -0.905736, -0.0264343, 0.565814, -0.824109, -0.358029, 0.509261, -0.782604
114, 3.76667, 0.979577, 1, -0.0241413, 0.292499, -0.955961, -0.323379, 0.259155, -0.910091, -0.0415133, 0.569281, -0.821094, -0.339711, 0.519789, -0.783847
115, 3.8, 0.979073, 1, -0.030617, 0.29057, -0.956364, -0.357037, 0.250978, -0.899741, -0.046852, 0.563482, -0.824799, -0.372124, 0.505274, -0.778602
116, 3.83333, 0.980823, 1, -0.0175491, 0.27487, -0.961321, -0.352806, 0.250397, -0.901571, -0.0352168, 0.549944, -0.834459, -0.369266, 0.504684, -0.780344
117, 3.86667, 0.980021, 1, -0.0178429, 0.280847, -0.959587, -0.326741, 0.251861, -0.910937, -0.0337738, 0.553897, -0.8319, -0.341732, 0.508524, -0.790331
118, 3.9, 0.980897, 1, -0.0206229, 0.279233, -0.960002, -0.356952, 0.253219, -0.899147, -0.0366964, 0.550827, -0.833812, -0.371904, 0.504241, -0.779377
119, 3.93333, 0.980612, 1, 0.0457009, 0.277038, -0.959772, -0.359018, 0.24054, -0.901802, 0.0307824, 0.545837, -0.837326, -0.372775, 0.488476, -0.788942
120, 3.96667, 0.980998, 1, -0.0177487, 0.251827, -0.96761, -0.326511, 0.216633, -0.920033, -0.0307102, 0.524486, -0.850865, -0.338446, 0.471604, -0.814275
121, 4, 0.980428, 1, 0.0321726, 0.25345, -0.966813, -0.31235, 0.25075, -0.916276, 0.0213441, 0.523971, -0.851469, -0.322742, 0.500006, -0.803636
122, 4.03333, 0.981036, 1, 0.0212509, 0.267506, -0.963322, -0.287132, 0.230596, -0.929721, 0.00928318, 0.536934, -0.843573, -0.298104, 0.485673, -0.821739
123, 4.06667, 0.981891, 1, -0.00840195, 0.257868, -0.966144, -0.296336, 0.229783, -0.92703, -0.0210874, 0.52622, -0.850087, -0.308093, 0.481913, -0.820267
124, 4.1, 0.982002, 1, 0.00342022, 0.238995, -0.971015, -0.312674, 0.23393, -0.920604, -0.00641678, 0.508782, -0.860871, -0.322077, 0.483193, -0.814119
125, 4.13333, 0.980011, 1, 0.0347166, 0.27417, -0.961055, -0.315756, 0.218064, -0.923442, 0.0239037, 0.541277, -0.840504, -0.325162, 0.469421, -0.820922
126, 4.16667, 0.980292, 1, 0.00137114, 0.258557, -0.965995, -0.306126, 0.222818, -0.925548, -0.0108213, 0.529671, -0.848134, -0.317291, 0.477596, -0.819285
127, 4.2, 0.980233, 1, 0.0128016, 0.257875, -0.966094, -0.304621, 0.224552, -0.925626, 0.00427348, 0.529776, -0.848127, -0.312256, 0.479486, -0.820115
128, 4.23333, 0.97897, 1, 0.0061744, 0.255956, -0.966669, -0.303582, 0.237441, -0.922746, -0.00381797, 0.531195, -0.847241, -0.31291, 0.493972, -0.811221
129, 4.26667, 0.980379, 1, -0.00688968, 0.240702, -0.970575, -0.307955, 0.234644, -0.922012, -0.0158933, 0.516213, -0.856313, -0.316564, 0.489223, -0.81268
130, 4.3, 0.980695, 1, 0.00802833, 0.242008, -0.970241, -0.26929, 0.225127, -0.936376, -0.000922328, 0.509519, -0.860459, -0.277669, 0.477443, -0.833635
131, 4.33333, 0.981116, 1, -0.0035622, 0.23867, -0.971094, -0.290016, 0.234472, -0.927854, -0.00639387, 0.496104, -0.86824, -0.292792, 0.473825, -0.830519
132, 4.36667, 0.983066, 1, -0.0313945, 0.230531, -0.972558, -0.307205, 0.259875, -0.915473, -0.0324392, 0.471613, -0.881209, -0.308925, 0.480682, -0.820677
133, 4.4, 0.984532, 1, -0.0144352, 0.246532, -0.969027, -0.328763, 0.261813, -0.907397, -0.0170047, 0.481396, -0.876338, -0.331666, 0.475497, -0.814801
134, 4.43333, 0.984451, 1, -0.0130123, 0.246039, -0.969173, -0.327356, 0.259423, -0.908591, -0.0174021, 0.476588, -0.878954, -0.331859, 0.47013, -0.817831
135, 4.46667, 0.984081, 1, -0.00649763, 0.243327, -0.969923, -0.319406, 0.253121, -0.913187, -0.012743, 0.477256, -0.878672, -0.325562, 0.468527, -0.821275
136, 4.5, 0.983102, 1, -0.00256859, 0.25525, -0.966872, -0.326908, 0.245418, -0.912634, -0.00636691, 0.487884, -0.872885, -0.330524, 0.460952, -0.823576
137, 4.53333, 0.983623, 1, 0.031879, 0.25119, -0.967413, -0.327674, 0.257971, -0.90889, 0.0300807, 0.481755, -0.875789, -0.329623, 0.46944, -0.81913
138, 4.56667, 0.98325, 1, -0.0161927, 0.25304, -0.96732, -0.326125, 0.245464, -0.912902, -0.0208612, 0.48522, -0.874143, -0.330595, 0.459888, -0.824142
139, 4.6, 0.983297, 1, 0.0248098, 0.257138, -0.966056, -0.337113, 0.225564, -0.914044, 0.0177355, 0.493412, -0.869615, -0.343491, 0.444066, -0.827538
140, 4.63333, 0.984273, 1, -0.000287038, 0.25854, -0.966, -0.321124, 0.219187, -0.921323, -0.00628429, 0.499183, -0.866474, -0.326351, 0.4444, -0.834268
141, 4.66667, 0.984046, 1, -0.0169271, 0.253176, -0.967272, -0.312035, 0.222172, -0.923728, -0.0266069, 0.498659, -0.86639, -0.320929, 0.452348, -0.832097
142, 4.7, 0.983239, 1, -0.00949396, 0.263133, -0.964713, -0.329752, 0.226085, -0.916597, -0.0225726, 0.513232, -0.857953, -0.341794, 0.459402, -0.819834
143, 4.73333, 0.982367, 1, 0.00240018, 0.236721, -0.971575, -0.322036, 0.224221, -0.919792, -0.0114747, 0.492221, -0.870395, -0.335126, 0.461126, -0.821616
144, 4.76667, 0.983215, 1, -0.0170533, 0.249539, -0.968215, -0.324034, 0.220867, -0.919902, -0.0273209, 0.507053, -0.861482, -0.333489, 0.460956, -0.822377
145, 4.8, 0.982837, 1, 0.010703, 0.27381, -0.961724, -0.320665, 0.22008, -0.92127, 0.00121207, 0.529168, -0.848516, -0.329036, 0.460781, -0.824267
146, 4.83333, 0.982398, 1, 0.00817803, 0.272829, -0.962028, -0.318433, 0.219537, -0.922174, 3.19142e-005, 0.53119, -0.847252, -0.325453, 0.463068, -0.824408
147, 4.86667, 0.981491, 1, -0.00958092, 0.259092, -0.965805, -0.338476, 0.216606, -0.915705, -0.0132385, 0.521947, -0.852875, -0.341216, 0.4602, -0.819626
148, 4.9, 0.983041, 1, -0.00509693, 0.264479, -0.964378, -0.323369, 0.218618, -0.920673, -0.00772145, 0.524536, -0.851353, -0.324959, 0.461217, -0.825639
149, 4.93333, 0.981363, 1, -0.034388, 0.264689, -0.963721, -0.328986, 0.216355, -0.919216, -0.0390559, 0.52297, -0.851456, -0.332485, 0.457474, -0.824725
150, 4.96667, 0.981527, 1, 0.00545999, 0.270613, -0.962673, -0.328287, 0.224695, -0.917464, 0.00246695, 0.530131, -0.847912, -0.330182, 0.465594, -0.821098
151, 5, 0.981731, 1, 0.000647931, 0.269739, -0.962933, -0.329232, 0.218781, -0.918554, -0.00314129, 0.530387, -0.84775, -0.33169, 0.460826, -0.823178
152, 5.03333, 0.981603, 1, 0.000571274, 0.255298, -0.966862, -0.324179, 0.222724, -0.919403, -0.000511543, 0.520907, -0.853614, -0.324455, 0.467441, -0.822331
153, 5.06667, 0.9798, 1, -0.0118007, 0.253952, -0.967145, -0.331687, 0.219017, -0.917614, -0.0103588, 0.515791, -0.856652, -0.329422, 0.459264, -0.824959
154, 5.1, 0.981123, 1, -0.0106376, 0.252749, -0.967474, -0.323387, 0.220251, -0.920277, -0.00827306, 0.512188, -0.858833, -0.320309, 0.459115, -0.828623
155, 5.13333, 0.980783, 1, 0.0112595, 0.251634, -0.967757, -0.321968, 0.213058, -0.922466, 0.00975454, 0.51883, -0.854822, -0.322415, 0.459708, -0.827476
156, 5.16667, 0.980893, 1, 0.0407194, 0.239431, -0.970059, -0.37671, 0.20412, -0.903562, 0.0378413, 0.511986, -0.85816, -0.378676, 0.447942, -0.809909
157, 5.2, 0.982592, 1, 0.0679859, 0.226214, -0.971702, -0.340004, 0.205402, -0.917719, 0.0638751, 0.497969, -0.864839, -0.343512, 0.45215, -0.82314
158, 5.23333, 0.982452, 1, 0.0717054, 0.228109, -0.970992, -0.33916, 0.206275, -0.917835, 0.0685269, 0.50082, -0.862834, -0.341751, 0.454107, -0.822796
159, 5.26667, 0.980453, 1, 0.0395235, 0.231733, -0.971976, -0.353201, 0.207049, -0.912349, 0.0334876, 0.516471, -0.85565, -0.358463, 0.465157, -0.809403
160, 5.3, 0.98066, 1, 0.0366744, 0.232896, -0.97181, -0.375261, 0.200094, -0.905065, 0.0318293, 0.514023, -0.857186, -0.379152, 0.452098, -0.807373
161, 5.33333, 0.979676, 1, 0.0131452, 0.227318, -0.973732, -0.369957, 0.194837, -0.908389, 0.00871738, 0.507844, -0.861405, -0.373445, 0.447231, -0.812726
162, 5.36667, 0.981085, 1, 0.028304, 0.229247, -0.972957, -0.332772, 0.20113, -0.921309, 0.0252002, 0.508515, -0.860684, -0.335133, 0.457185, -0.823813
163, 5.4, 0.981519, 1, 0.0245057, 0.217635, -0.975722, -0.350572, 0.194807, -0.916051, 0.02019, 0.505557, -0.862557, -0.354235, 0.456233, -0.816314
164, 5.43333, 0.980494, 1, -0.00798429, 0.22133, -0.975166, -0.348522, 0.191951, -0.917435, -0.011893, 0.508463, -0.861002, -0.351646, 0.454451, -0.818425
165, 5.46667, 0.980463, 1, -0.00790372, 0.21325, -0.976966, -0.35302, 0.178367, -0.918456, -0.0105887, 0.496861, -0.867766, -0.354812, 0.437378, -0.826323
166, 5.5, 0.981135, 1, -0.0172997, 0.221356, -0.97504, -0.368125, 0.195967, -0.90889, -0.0215137, 0.500102, -0.865699, -0.371627, 0.447116, -0.813622
167, 5.53333, 0.980214, 1, -0.0325681, 0.218483, -0.975297, -0.357496, 0.19387, -0.913571, -0.0360791, 0.498301, -0.866253, -0.360368, 0.448201, -0.818078
168, 5.56667, 0.982638, 1, -0.0250504, 0.207377, -0.97794, -0.3624, 0.192398, -0.911948, -0.0242338, 0.486213, -0.873504, -0.361445, 0.443396, -0.820218
169, 5.6, 0.97907, 1, -0.070507, 0.234497, -0.969557, -0.320146, 0.197109, -0.926636, -0.0675849, 0.503263, -0.861486, -0.316321, 0.448045, -0.83618
170, 5.63333, 0.978907, 1, -0.0727226, 0.233751, -0.969573, -0.319001, 0.194204, -0.927644, -0.0693669, 0.500148, -0.863157, -0.314637, 0.44309, -0.839449
171, 5.66667, 0.980272, 1, -0.0653262, 0.238375, -0.968974, -0.351851, 0.198174, -0.914838, -0.0607089, 0.500822, -0.863418, -0.346372, 0.438587, -0.829257
172, 5.7, 0.979109, 1, -0.0534792, 0.237087, -0.970015, -0.343648, 0.200791, -0.917382, -0.0495705, 0.502407, -0.863209, -0.338891, 0.443639, -0.829661
